iter	Passed	Remaining
0	134	133897
1	135	67578
2	136	45447
3	137	34357
4	139	27722
5	140	23316
6	142	20156
7	143	17784
8	144	15945
9	146	14460
10	147	13248
11	148	12248
12	150	11395
13	151	10667
14	152	10034
15	153	9466
16	155	8979
17	156	8537
18	157	8144
19	159	7804
20	160	7492
21	162	7227
22	163	6963
23	165	6720
24	166	6496
25	167	6287
26	169	6094
27	170	5918
28	171	5751
29	173	5600
30	174	5458
31	175	5323
32	177	5198
33	178	5077
34	179	4960
35	181	4849
36	182	4747
37	183	4646
38	184	4556
39	186	4466
40	187	4381
41	188	4299
42	189	4224
43	191	4151
44	192	4084
45	193	4017
46	194	3953
47	196	3893
48	197	3833
49	198	3773
50	199	3717
51	200	3663
52	202	3609
53	203	3560
54	204	3512
55	205	3465
56	206	3419
57	207	3374
58	208	3333
59	210	3291
60	211	3251
61	212	3212
62	213	3174
63	214	3138
64	215	3103
65	216	3070
66	218	3039
67	218	3001
68	220	2970
69	221	2942
70	222	2913
71	223	2886
72	225	2858
73	226	2832
74	227	2807
75	228	2782
76	230	2758
77	231	2733
78	232	2709
79	233	2684
80	234	2661
81	235	2638
82	236	2616
83	237	2593
84	238	2568
85	239	2547
86	240	2523
87	241	2503
88	242	2485
89	243	2466
90	245	2448
91	246	2430
92	247	2411
93	248	2394
94	249	2377
95	250	2361
96	251	2344
97	252	2328
98	254	2312
99	255	2296
100	256	2281
101	256	2261
102	258	2247
103	259	2233
104	260	2220
105	261	2206
106	262	2192
107	263	2179
108	265	2167
109	266	2154
110	267	2142
111	268	2129
112	269	2117
113	270	2104
114	271	2092
115	272	2079
116	273	2067
117	275	2056
118	275	2043
119	277	2032
120	278	2020
121	279	2009
122	279	1995
123	280	1984
124	282	1974
125	283	1963
126	284	1954
127	285	1941
128	286	1932
129	287	1923
130	288	1913
131	289	1904
132	290	1895
133	291	1886
134	292	1877
135	294	1868
136	295	1859
137	296	1849
138	297	1840
139	298	1832
140	299	1824
141	300	1815
142	301	1808
143	302	1800
144	304	1792
145	305	1784
146	306	1777
147	307	1769
148	308	1762
149	309	1755
150	310	1748
151	312	1740
152	313	1733
153	314	1726
154	315	1719
155	316	1712
156	317	1706
157	319	1700
158	320	1695
159	321	1689
160	323	1684
161	324	1678
162	325	1672
163	326	1666
164	328	1660
165	329	1654
166	330	1648
167	331	1641
168	332	1635
169	333	1629
170	334	1623
171	335	1617
172	337	1611
173	338	1605
174	339	1600
175	340	1594
176	341	1588
177	342	1582
178	343	1576
179	344	1571
180	345	1563
181	346	1558
182	347	1552
183	348	1546
184	349	1541
185	351	1536
186	352	1530
187	353	1525
188	354	1520
189	355	1515
190	356	1510
191	357	1505
192	358	1500
193	360	1496
194	361	1491
195	362	1487
196	363	1482
197	364	1477
198	366	1473
199	367	1468
200	368	1464
201	369	1459
202	370	1454
203	371	1450
204	372	1445
205	373	1441
206	374	1436
207	376	1431
208	377	1427
209	378	1422
210	379	1418
211	380	1414
212	381	1409
213	382	1405
214	383	1400
215	384	1395
216	385	1390
217	386	1385
218	387	1380
219	388	1375
220	388	1370
221	389	1366
222	390	1361
223	391	1357
224	392	1352
225	393	1347
226	394	1342
227	395	1338
228	396	1333
229	397	1329
230	397	1324
231	398	1320
232	399	1315
233	400	1311
234	401	1307
235	402	1303
236	403	1298
237	404	1294
238	405	1290
239	406	1286
240	406	1281
241	407	1277
242	408	1273
243	409	1269
244	410	1265
245	411	1261
246	412	1257
247	413	1253
248	414	1249
249	415	1245
250	416	1241
251	416	1237
252	417	1233
253	418	1229
254	419	1225
255	420	1221
256	421	1218
257	422	1214
258	423	1210
259	423	1206
260	424	1203
261	425	1199
262	426	1195
263	427	1192
264	428	1188
265	429	1184
266	430	1181
267	431	1178
268	432	1174
269	433	1171
270	434	1167
271	434	1164
272	435	1160
273	436	1157
274	437	1153
275	438	1150
